id,comentario_original,comentario_limpo,estrelas,sentimento
1,"Nunca consigo conectar em nenhuma rede wi-fi. E quando consigo,  a loja kindle nunca funcionou desde que comprei o aparelho. Faz apenas um mês da compra, não consegui devolver. Enfim, era mais fácil ler pelo celular ou notebook mesmo. Mas os livros físicos, sempre eles serão os melhores.",nunca consigo conectar em nenhuma rede wifi e quando consigo a loja kindle nunca funcionou desde que comprei o aparelho faz apenas um mês da compra não consegui devolver enfim era mais fácil ler pelo celular ou notebook mesmo mas os livros físicos sempre eles serão os melhores,3,neutro
2,"Infelizmente, os mangás não ficam mais em tela cheia, nem passam pra orientação de paisagem. Pra quem vai ler só livros é bom, mas infelizmente pra mangás e quadrinhos já foi melhor.",infelizmente os mangás não ficam mais em tela cheia nem passam pra orientação de paisagem pra quem vai ler só livros é bom mas infelizmente pra mangás e quadrinhos já foi melhor,2,negativo
3,"É um produto bom.Porém o meu durou apenas 1 ano e meio.😡Procurei pra consertar e descobri que nao tem concerto, ou seja tem que comprar outro.E descobri tbm ,que todos dão o mesmo problema, sem solução. 😡😡😡Meu Kindle, esta novo, a bateria ótima.Mas nao consigo ler nem uma página  porquê fica pulando.Eu sou assinante da Amazon, e tbm era assinante do Kindle .Ulimit....Cancelei a assinatura. Adoro ler livros digitais,mas dá Amazon, nao dá. Infelizmente.",é um produto bomporém o meu durou apenas ano e meioprocurei pra consertar e descobri que nao tem concerto ou seja tem que comprar outroe descobri tbm que todos dão o mesmo problema sem solução meu kindle esta novo a bateria ótimamas nao consigo ler nem uma página porquê fica pulandoeu sou assinante da amazon e tbm era assinante do kindle ulimitcancelei a assinatura adoro ler livros digitaismas dá amazon nao dá infelizmente,1,negativo
4,"7 meses... parou... travou travado, não liga e tem a imagem como se fosse marcadaguaComo aciono a garantia?",meses parou travou travado não liga e tem a imagem como se fosse marcadaguacomo aciono a garantia,3,neutro
5,Ainda estou testando,ainda estou testando,3,neutro
6,"Tela com pixels mortos em três dias de uso. Já tive dois kindles, uma vez em 2020 e outra em 2022, mas agora em 2025 é a primeira vez que tenho problemas com a tela do produto. A princípio, achei que tinha arranhado a tela ou perfurado, mas é um problema do próprio aparelho. Com 3 dias de uso apresentou isso, primeiro vi apenas um pixel morto, durante o contato com a amazon (eles viram as fotos que mandei) me constataram que realmente, tem na verdade três pontinhos na tela. Concordei em receber reembolso por vale presente e o aparelho com defeito foi bloqueado.Então eu pedi outro kindle, achando que em no máximo três dias teria outro aparelho pra continuar as leituras (esse foi entregue no mesmo dia), só que a previsão de entrega agora é pra 13 dias.Não há o que se fazer, vou aguardar.Todavia o atendimento ao cliente da amazon foi até o momento muitíssimo atencioso e eficiente. 5/5 pro atendimento. 2/5 por conta do defeito desse aparelho em questão.",tela com pixels mortos em três dias de uso já tive dois kindles uma vez em e outra em mas agora em é a primeira vez que tenho problemas com a tela do produto a princípio achei que tinha arranhado a tela ou perfurado mas é um problema do próprio aparelho com dias de uso apresentou isso primeiro vi apenas um pixel morto durante o contato com a amazon eles viram as fotos que mandei me constataram que realmente tem na verdade três pontinhos na tela concordei em receber reembolso por vale presente e o aparelho com defeito foi bloqueadoentão eu pedi outro kindle achando que em no máximo três dias teria outro aparelho pra continuar as leituras esse foi entregue no mesmo dia só que a previsão de entrega agora é pra diasnão há o que se fazer vou aguardartodavia o atendimento ao cliente da amazon foi até o momento muitíssimo atencioso e eficiente pro atendimento por conta do defeito desse aparelho em questão,2,negativo
7,"Faz um ano que comprei, ele já parou de carregar.600 reais jogados no lixo! Tô muito insatisfeito!",faz um ano que comprei ele já parou de carregar reais jogados no lixo tô muito insatisfeito,1,negativo
8,Horrível… produto deu defeito muito cedo!,horrível produto deu defeito muito cedo,1,negativo
9,"Comprei em novembro, faz quatro meses, bateria está apresentando problemas, está a mais de 12 horas e não carregou totalmente ainda! Gostaria de um suporte",comprei em novembro faz quatro meses bateria está apresentando problemas está a mais de horas e não carregou totalmente ainda gostaria de um suporte,2,negativo
10,"{""clickstreamNexusMetricsConfig"":{""producerId"":""vsemetrics_playercards"",""schemaId"":""clickstream.CustomerEvent.4"",""actionType"":""DISCOVERY"",""eventOwner"":""vsemetrics_playercards"",""eventType"":""IVEVideoView"",""productId"":""""},""clientPrefix"":""vse_reviews_desktop_r19q2nourd9xd6_1773438556377"",""ccvDisclosure"":"""",""closedCaptionsConfig"":{""captionsOnTexts"":{""de"":""Alemão (Automatizado)"",""en"":""Inglês (Automatizado)"",""fr"":""Francês (Automatizado)"",""es"":""Espanhol (Automatizado)""},""captionsOffText"":""Legendas desativadas"",""languageToLabelTexts"":{""English"":""Inglês"",""French"":""Francês"",""German"":""Alemão"",""Spanish"":""Espanhol""}},""sushiMetricsConfig"":{""eventSource"":""Player"",""endpoint"":""https://unagi-na.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test"",""requestId"":""WNNXFSS35SZFD510FY54"",""sessionId"":""135-8958072-2327906"",""customerId"":""A3HU3TWHZ85TLW"",""refMarkers"":""vse_reviews_desktop_R19Q2NOURD9XD6_1773438556377_ref"",""sessionType"":1,""placementContext"":""cr_inline_review"",""marketplaceId"":""A2Q3Y263D00KWC"",""weblabIds"":"""",""isInternal"":false,""isRobot"":false,""clientId"":""VSE-BR"",""videoAsinList"":""""},""mimeType"":""application/x-mpegURL"",""reportUrl"":"""",""nexusMetricsConfig"":{""eventSource"":""Player"",""isInternal"":false,""playerTSMMetricsSchemaId"":""vse.VSECardsPlayerEvents.9"",""widgetMetricsSchemaId"":""vse.VSECardsEvents.9"",""producerId"":""vsemetrics_playercards"",""refMarkers"":""vse_reviews_desktop_R19Q2NOURD9XD6_1773438556377_ref"",""placementContext"":""cr_inline_review"",""weblabIds"":"""",""clientId"":""VSE-BR"",""videoAsin"":""R19Q2NOURD9XD6"",""videoAsinList"":"""",""customerId"":""A3HU3TWHZ85TLW""},""videoHeight"":0,""disableReportIllegalLink"":false,""videoWidth"":0,""eligibleToTriggerCCWeblab"":false,""videoUrl"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/fbfca3d4-9f3c-459a-94fe-44fe9ac06bd2/default.vertical.jobtemplate.hls.m3u8"",""metricsEmissionMethod"":""nexus"",""imageUrl"":""https://m.media-amazon.com/images/I/71TvWiXB20L._SY256._SY256.jpg"",""awaConfig"":{""useUpNextComponent"":false,""clickstreamNexusMetricsConfig"":{""producerId"":""vsemetrics_playercards"",""schemaId"":""clickstream.CustomerEvent.4"",""actionType"":""DISCOVERY"",""eventOwner"":""vsemetrics_playercards"",""eventType"":""IVEVideoView"",""productId"":""""},""initialVideo"":""R19Q2NOURD9XD6"",""shouldPreload"":true,""enableClickBasedAttribution"":false,""isChromelessPlayer"":false,""closedCaptionsConfig"":{""captionsOnTexts"":{""de"":""Alemão (Automatizado)"",""en"":""Inglês (Automatizado)"",""fr"":""Francês (Automatizado)"",""es"":""Espanhol (Automatizado)""},""captionsOffText"":""Legendas desativadas"",""languageToLabelTexts"":{""English"":""Inglês"",""French"":""Francês"",""German"":""Alemão"",""Spanish"":""Espanhol""}},""enableDynamicBlur"":false,""showPlayerPlayButton"":false,""isVideoImmersivePlayer"":false,""metricsEmissionMethod"":""nexus"",""skipInitialFocus"":false,""playerSkin"":""none"",""disabledViewIds"":[""replayHint""],""includeEarnsComissionDisclosure"":false,""customerId"":""A3HU3TWHZ85TLW"",""containerId"":""vse_reviews_desktop_r19q2nourd9xd6_1773438556377-player-3f8d9f82-83de-443f-9c9b-5f9e3580ad9f"",""allowCrossOrigin"":false,""requestMetadata"":{""clientId"":""VSE-BR"",""marketplaceId"":""A2Q3Y263D00KWC"",""requestId"":""WNNXFSS35SZFD510FY54"",""sessionId"":""135-8958072-2327906"",""method"":""cr_inline_review"",""pageAsin"":""""},""shouldLoop"":false,""shouldDisableControls"":false,""alwaysSetInitialVideo"":true,""showPlayerCloseButton"":false,""clientPrefix"":"""",""useAutoplayFallback"":false,""sushiMetricsConfig"":{""eventSource"":""Player"",""endpoint"":""https://unagi-na.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test"",""requestId"":""WNNXFSS35SZFD510FY54"",""sessionId"":""135-8958072-2327906"",""customerId"":""A3HU3TWHZ85TLW"",""refMarkers"":""vse_reviews_desktop_R19Q2NOURD9XD6_1773438556377_ref"",""sessionType"":1,""placementContext"":""cr_inline_review"",""marketplaceId"":""A2Q3Y263D00KWC"",""weblabIds"":"""",""isInternal"":false,""isRobot"":false,""clientId"":""VSE-BR"",""videoAsinList"":""""},""ospLinkCode"":"""",""showPosterImage"":true,""languageCode"":""pt"",""languageLocalization"":{""play"":""Jogar"",""volumeLevel"":""Nível de volume"",""subtitles"":""Legendas"",""volumeSlider"":""Barra de controle de volume"",""playVideo"":""Clique para reproduzir o vídeo"",""fullscreen"":""Tela cheia"",""scrubberBar"":""Barra de rolagem"",""mute"":""Silenciar"",""unmute"":""Ativar som"",""pause"":""Pausa"",""captions"":""Legendas"",""nonfullscreen"":""Não em tela cheia""},""version"":"""",""isMoreVideosButtonEnabled"":false,""nexusMetricsConfig"":{""eventSource"":""Player"",""isInternal"":false,""playerTSMMetricsSchemaId"":""vse.VSECardsPlayerEvents.9"",""widgetMetricsSchemaId"":""vse.VSECardsEvents.9"",""producerId"":""vsemetrics_playercards"",""refMarkers"":""vse_reviews_desktop_R19Q2NOURD9XD6_1773438556377_ref"",""placementContext"":""cr_inline_review"",""weblabIds"":"""",""clientId"":""VSE-BR"",""videoAsin"":""R19Q2NOURD9XD6"",""videoAsinList"":"""",""customerId"":""A3HU3TWHZ85TLW""},""shouldStartMuted"":false,""airyVersion"":""VideoJS"",""languagePreferenceStrings"":{},""enableInactiveFocus"":true,""showVideoInfo"":false,""isReactFactory"":false,""enableDelphiAttribution"":false,""includeReportWidget"":false,""shouldAutoplay"":false},""needPlayerFactory"":false,""isMobile"":false}O vídeo mostra o produto em uso.O vídeo orienta você na configuração do produto.O vídeo compara vários produtos.O vídeo mostra o produto sendo desembalado.Video Player is loading.Clique para reproduzir o vídeoJogarSilenciarCurrent Time 0:00/Duration 0:21Loaded: 14.30%0:00Stream Type LIVESeek to live, currently behind liveLIVERemaining Time -0:21 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedLegendasLegendas desativadas, selectedAudio Trackdefault, selectedTela cheiaThis is a modal window.



            
        
    
    








  
  
    Meu Kindle está com toque fantasma, não sei mais o que fazer, não estou conseguindo usar, as páginas pulam sozinhas, basta eu ligar que ele fica mexendo sem eu tocar na tela, até redefini ele mas nada aconteceu",clickstreamnexusmetricsconfigproduceridvsemetricsplayercardsschemaidclickstreamcustomereventactiontypediscoveryeventownervsemetricsplayercardseventtypeivevideoviewproductidclientprefixvsereviewsdesktoprqnourdxdccvdisclosureclosedcaptionsconfigcaptionsontextsdealemão automatizadoeninglês automatizadofrfrancês automatizadoesespanhol automatizadocaptionsofftextlegendas desativadaslanguagetolabeltextsenglishinglêsfrenchfrancêsgermanalemãospanishespanholsushimetricsconfigeventsourceplayerendpointhttpsunaginaamazoncomeventscomamazoneelvsemetricsprodeventstestrequestidwnnxfssszfdfysessionidcustomeridahutwhztlwrefmarkersvsereviewsdesktoprqnourdxdrefsessiontypeplacementcontextcrinlinereviewmarketplaceidaqydkwcweblabidsisinternalfalseisrobotfalseclientidvsebrvideoasinlistmimetypeapplicationxmpegurlreporturlnexusmetricsconfigeventsourceplayerisinternalfalseplayertsmmetricsschemaidvsevsecardsplayereventswidgetmetricsschemaidvsevsecardseventsproduceridvsemetricsplayercardsrefmarkersvsereviewsdesktoprqnourdxdrefplacementcontextcrinlinereviewweblabidsclientidvsebrvideoasinrqnourdxdvideoasinlistcustomeridahutwhztlwvideoheightdisablereportillegallinkfalsevideowidtheligibletotriggerccweblabfalsevideourlhttpsmmediaamazoncomimagessvsevmstranscodingartifactuseastprodfbfcadfcafefeacbddefaultverticaljobtemplatehlsmumetricsemissionmethodnexusimageurlhttpsmmediaamazoncomimagesitvwixblsysyjpgawaconfiguseupnextcomponentfalseclickstreamnexusmetricsconfigproduceridvsemetricsplayercardsschemaidclickstreamcustomereventactiontypediscoveryeventownervsemetricsplayercardseventtypeivevideoviewproductidinitialvideorqnourdxdshouldpreloadtrueenableclickbasedattributionfalseischromelessplayerfalseclosedcaptionsconfigcaptionsontextsdealemão automatizadoeninglês automatizadofrfrancês automatizadoesespanhol automatizadocaptionsofftextlegendas desativadaslanguagetolabeltextsenglishinglêsfrenchfrancêsgermanalemãospanishespanholenabledynamicblurfalseshowplayerplaybuttonfalseisvideoimmersiveplayerfalsemetricsemissionmethodnexusskipinitialfocusfalseplayerskinnonedisabledviewidsreplayhintincludeearnscomissiondisclosurefalsecustomeridahutwhztlwcontaineridvsereviewsdesktoprqnourdxdplayerfdfdefcbfeadfallowcrossoriginfalserequestmetadataclientidvsebrmarketplaceidaqydkwcrequestidwnnxfssszfdfysessionidmethodcrinlinereviewpageasinshouldloopfalseshoulddisablecontrolsfalsealwayssetinitialvideotrueshowplayerclosebuttonfalseclientprefixuseautoplayfallbackfalsesushimetricsconfigeventsourceplayerendpointhttpsunaginaamazoncomeventscomamazoneelvsemetricsprodeventstestrequestidwnnxfssszfdfysessionidcustomeridahutwhztlwrefmarkersvsereviewsdesktoprqnourdxdrefsessiontypeplacementcontextcrinlinereviewmarketplaceidaqydkwcweblabidsisinternalfalseisrobotfalseclientidvsebrvideoasinlistosplinkcodeshowposterimagetruelanguagecodeptlanguagelocalizationplayjogarvolumelevelnível de volumesubtitleslegendasvolumesliderbarra de controle de volumeplayvideoclique para reproduzir o vídeofullscreentela cheiascrubberbarbarra de rolagemmutesilenciarunmuteativar sompausepausacaptionslegendasnonfullscreennão em tela cheiaversionismorevideosbuttonenabledfalsenexusmetricsconfigeventsourceplayerisinternalfalseplayertsmmetricsschemaidvsevsecardsplayereventswidgetmetricsschemaidvsevsecardseventsproduceridvsemetricsplayercardsrefmarkersvsereviewsdesktoprqnourdxdrefplacementcontextcrinlinereviewweblabidsclientidvsebrvideoasinrqnourdxdvideoasinlistcustomeridahutwhztlwshouldstartmutedfalseairyversionvideojslanguagepreferencestringsenableinactivefocustrueshowvideoinfofalseisreactfactoryfalseenabledelphiattributionfalseincludereportwidgetfalseshouldautoplayfalseneedplayerfactoryfalseismobilefalseo vídeo mostra o produto em usoo vídeo orienta você na configuração do produtoo vídeo compara vários produtoso vídeo mostra o produto sendo desembaladovideo player is loadingclique para reproduzir o vídeojogarsilenciarcurrent time duration loaded stream type liveseek to live currently behind liveliveremaining time xplayback ratechapterschaptersdescriptionsdescriptions off selectedlegendaslegendas desativadas selectedaudio trackdefault selectedtela cheiathis is a modal window meu kindle está com toque fantasma não sei mais o que fazer não estou conseguindo usar as páginas pulam sozinhas basta eu ligar que ele fica mexendo sem eu tocar na tela até redefini ele mas nada aconteceu,1,negativo
